t	s	i
8.76	0.820283	0.020283
8.77	0.820249	0.0202487
8.78	0.820214	0.0202144
8.79	0.82018	0.0201802
8.8	0.820146	0.0201461
8.81	0.820112	0.0201121
8.82	0.820078	0.0200781
8.83	0.820044	0.0200441
8.84	0.82001	0.0200102
8.85	0.819976	0.0199764
8.86	0.819943	0.0199427
8.87	0.819909	0.019909
8.88	0.819875	0.0198753
8.89	0.819842	0.0198417
8.9	0.819808	0.0198082
8.91	0.819775	0.0197748
8.92	0.819741	0.0197414
8.93	0.819708	0.019708
8.94	0.819675	0.0196747
8.95	0.819642	0.0196415
8.96	0.819608	0.0196084
8.97	0.819575	0.0195753
8.98	0.819542	0.0195422
8.99	0.819509	0.0195092
9	0.819476	0.0194763
9.01	0.819443	0.0194434
9.02	0.819411	0.0194106
9.03	0.819378	0.0193779
9.04	0.819345	0.0193452
9.05	0.819313	0.0193125
9.06	0.81928	0.01928
9.07	0.819247	0.0192474
9.08	0.819215	0.019215
9.09	0.819183	0.0191826
9.1	0.81915	0.0191502
9.11	0.819118	0.0191179
9.12	0.819086	0.0190857
9.13	0.819054	0.0190535
9.14	0.819021	0.0190214
9.15	0.818989	0.0189893
9.16	0.818957	0.0189573
9.17	0.818925	0.0189254
9.18	0.818893	0.0188935
9.19	0.818862	0.0188617
9.2	0.81883	0.0188299
9.21	0.818798	0.0187982
9.22	0.818766	0.0187665
9.23	0.818735	0.0187349
9.24	0.818703	0.0187033
9.25	0.818672	0.0186718
9.26	0.81864	0.0186404
9.27	0.818609	0.018609
9.28	0.818578	0.0185777
9.29	0.818546	0.0185464
9.3	0.818515	0.0185152
9.31	0.818484	0.018484
9.32	0.818453	0.0184529
9.33	0.818422	0.0184218
9.34	0.818391	0.0183908
9.35	0.81836	0.0183599
9.36	0.818329	0.018329
